miRNA_1	miRNA_2	target
MIR103A2	MIR107	ARHGAP5
MIR103A2	MIR107	PHF20
MIR103A2	MIR107	SALL4
MIR103A2	MIR107	PNISR
MIR103A2	MIR107	DICER1
MIR103A2	MIR107	RNF38
MIR103A2	MIR107	NPAS2
MIR103A2	MIR107	SNX3
MIR103A2	MIR107	PHYHIPL
MIR103A2	MIR107	RCAN1
MIR103A2	MIR107	ASH1L
MIR103A2	MIR107	ATL2
MIR103A2	MIR107	NFIA
MIR103A2	MIR107	SLC20A2
MIR103A2	MIR107	FGF2
MIR103A2	MIR107	N4BP1
MIR103A2	MIR107	CHIC1
MIR103A2	MIR107	ZHX1
MIR103A2	MIR107	ACVR2B
MIR103A2	MIR107	PDE3B
MIR103A2	MIR107	CUL4A
MIR103A2	MIR107	YWHAH
MIR103A2	MIR107	FLOT2
MIR103A2	MIR107	HACD2
MIR103A2	MIR107	ZNF654
MIR103A2	MIR107	MFN2
MIR103A2	MIR107	CAB39
MIR103A2	MIR107	RUNX1T1
MIR103A2	MIR107	GPCPD1
MIR103A2	MIR107	PRKG1
MIR103A2	MIR107	MYBL1
MIR103A2	MIR107	RPS6KA3
MIR103A2	MIR107	PLEKHA1
MIR103A2	MIR107	RAP2C
MIR103A2	MIR107	GSKIP
MIR103A2	MIR107	CLOCK
MIR103A2	MIR107	KIF21A
MIR103A2	MIR107	NOVA1
MIR103A2	MIR107	SNRK
MIR103A2	MIR107	CACNA2D1
MIR103A2	MIR107	TMEM260
MIR103A2	MIR107	SLC35G1
MIR103A2	MIR107	PIK3R1
MIR103A2	MIR107	SPATS2L
MIR103A2	MIR107	CHD2
MIR103A2	MIR107	UPF2
MIR103A2	MIR107	JAKMIP2
MIR103A2	MIR107	LCOR
MIR103A2	MIR107	NF1
MIR103A2	MIR107	SATB2
MIR103A2	MIR107	BDNF
MIR103A2	MIR107	NPAS3
MIR103A2	MIR107	RBM24
MIR103A2	MIR107	ZCCHC2
MIR103A2	MIR107	EIF5
MIR103A2	MIR107	SCN8A
MIR103A2	MIR107	GABRG2
MIR103A2	MIR107	PPP6R2
MIR103A2	MIR107	ARMC1
MIR103A2	MIR107	ATXN7L1
MIR103A2	MIR107	DNAJB4
MIR103A2	MIR107	AGFG1
MIR103A2	MIR107	SIX4
MIR103A2	MIR107	BACH2
MIR103A2	MIR107	FBXO10
MIR103A2	MIR107	CAPZA2
MIR103A2	MIR107	MBNL1
MIR106A	MIR106B	ENPP5
MIR106A	MIR106B	ATAD2
MIR106A	MIR106B	BRMS1L
MIR106A	MIR106B	FCHO2
MIR106A	MIR106B	F3
MIR106A	MIR106B	ITPRIPL2
MIR106A	MIR106B	ETV1
